Nick,Pontos
BES Midor1ya,182
BES Toddy,173
BEE Xiellendario,166
BEE Phelpz13,164
TMT Xaue,163
Miguel Arkjow,163
BES Vipi,162
FOUR Bieul,156
vMetangTTV,156
zzhcet,155
KDA Guiczar,155
Highroller Bnas,154
BES Inc mplete,153
FOUR SaintOz,152
BEE Itachi,149
KDA Wenked,148
FOUR Jhin,147
Felipeanjos,143
PedroBanana,142
FOUR Koke,139
TFX D klein,138
BEE Soft,138
JosneyQT,133
Erith,133
vovô nuco,130
KDA ConsTanTine,128
EMS Sartii,128
D Pazzini,127
NDL Carlão,124
FOUR Steps Days,124
The Nextt,123
Faret,120
Godi,116
Kazzumii,116
F 0 J O,112
TMT Sneaky1,112
perfect comp tft,109
Dino Lothbrok,108
Senhor Mindua,103
TchxuunaiY,102